name,facet,segment,novel,v1_match,n_docs,n_B,n_G,grounded,groups,variants,definition,evidence,docs
Safety,metric,G∩B,False,Bikeability,19,48,32,0.97,Access Sheds and Networks | bicycle infrastructure design principles | BLOS | Comfort assessment methods | CompositeMetric | ContextualMetric | Cycle Infrastructure | Cycling infrastructure | Elements of Eﬀective Public Cycle Parking | InfrastructuralMetric | Investigated characteristics and attributes of network affecting users’ choice | Macro-attributes or factors | quality criteria | safety | Surrounding environment | Typology of experiment and analysis method,accessibility | Accessibility | Aesthetic and attractiveness | attractiveness | Attractiveness | attractiveness indexes | BEQI (Bicycle Environmental Quality Index) | BEQI(Bicycle Environmental Quality Index) | bicycle comfort mapping | Bicycle Compatibility Index | Bicycle Compatibility Index (BCI) | bicycle level of service | Bicycle Level of Service | Bicycle Level of Service (BLOS) | bicycle level-of-service | Bicycle level-of-service (BLOS) | bikeability | bikeability index | Bikeability index | Bikeability Index | bikeability index (BI) | Bikeability Index (BI) | comfort | Comfort | Cycling Comfort Index (CCI) | Infrastructure | level of traffic stress | Level of Traffic Stress | level of traffic stress (LTS) | Level of Traffic Stress (LTS) | Presence of bicycle infrastructure | Quality of cycle infrastructure | Quality of Service (QoS) | Quality of service (QOS) | Safety | safety | School bikeability index | subjective safety | Surrounding environment | Surrounding Environment,The degree to which a cycling environment protects users from accidents and injuries.,"A cycle route must fit closely to the criteria of safety, directness, cohesiveness, comfort and attractiveness.",W1925772252 W1965352281 W2758447314 W2777700178 W3015673663 W3129869580 W3165427569 W3206354380 W3206499245 W4283793738 W4317438483 W4392992203 W4401996679 W4402615958 W4406598183 W4408618846 W4416332193 W7118196403 W7152735000
directness,criterion,G∩B,False,Directness,5,6,5,1.00,bicycle infrastructure design principles | quality criteria,Coherence | coherence | connectivity | Directness | directness,The extent to which cycling routes provide the shortest or most efficient paths between origins and destinations.,"A cycle route must fit closely to the criteria of safety, directness, cohesiveness, comfort and attractiveness.",W1925772252 W1965352281 W3165427569 W4392992203 W4416332193
Dynamic comfort index (DCI),metric,G∩B,False,Smoothness,5,6,7,0.85,Comfort assessment methods | CompositeMetric | InfrastructuralMetric | Macro-attributes or factors | vibration or roughness index,Cycling Comfort Index | dynamic comfort index | Dynamic Comfort Index | Dynamic Comfort Index (DCI) | Dynamic comfort index (DCI) | Dynamic Cycling Comfort (DCC) | Dynamic cycling comfort (DCC) | IRI (International Roughness Index) | vibration or roughness index,A metric evaluating vibration caused by pavement surface properties to assess cycling comfort.,B íl et al. [ 115] proposed a dynamic comfort index in order to evaluate the vibration that occurred due to issues with the surface of the pavement’s properties.,W3015673663 W4392992203 W4406598183 W4408618846 W7118196403
bicycle parking,metric,G∩B,False,Amenity,4,2,4,1.00,Cycling infrastructure | InfrastructuralMetric | Infrastructure for high-level bicycle tourism,bicycle parking | Bicycle parking,Facilities provided at transit stations for the secure storage of bicycles.,Bicycle parking facilities generally can be categorized into two groups: standard bicycle racks and more-secure bicycle parking options such as bicycle lockers and bicycle stations.,W2758447314 W3129869580 W3206354380 W4402615958
Topography,metric,G∩B,False,MorphologicalMetric,4,5,3,1.00,ContextualMetric | Exogenous Factors | MorphologicalMetric | Surrounding Environment | Surrounding environment | Topography,Slope | slope | Topography | topography,The physical grade or slope of the terrain which affects the physical effort required by the cyclist.,Topography Topography conditions have an impact on cyclists’ comfort.,W3015673663 W3129869580 W4283793738 W4402615958
cycling ridership,metric,G∩B,False,Performance,3,3,3,0.83,ModeMetric,bicycle modal share | cycling ridership | cycling uptake | Cycling uptake,This indicator tracks the growth or level of cycling participation within a city.,Cycling uptake,W1965352281 W2777700178 W4416332193
Level of Service (LOS),metric,B∖G,True,,3,3,0,1.00,Investigated characteristics and attributes of network affecting users’ choice,Level of Service (LOS) | Level of service (LOS),A numerical stratification used to categorize performance measures of quality of service.,"com /journal/sustainability Sustainability 2020, 12, 2944 2 of 30 - Level of service (LOS): the quantitative stratiﬁcation of performance measures of QOS.",W3015673663 W3206499245 W7118196403
Land use,metric_group,G∩B,False,ContextualMetric,3,3,1,1.00,Accessibility,Land use | land-use,"These indicators measure the proximity and density of origins and destinations, such as residential areas and workplaces, to support utilitarian cycling.","Regarding cycling, mixed land use is recognised as important to promote and encourage this mode of transport [15,19,74], since mixed-use is related to a broader diversity of living activities that potentially reduces the distances between origins and destinations of the utilitarian journeys, becomin",W3129869580 W4283793738 W7158934745
Lighting,criterion,G∩B,False,Security,2,2,1,0.67,Infrastructure for high-level bicycle tourism | Qualitative design standards,Lighting | lighting,The presence and quality of illumination along cycling routes.,"The chapter “Infrastructure for high-level bicycle tourism” deals with relevant road infrastructure elements like different types of tracks, intersections and roundabouts, route signposting, bicycle parking, shelters for cyclists, lighting and maintenance.",W3206354380 W4393006393
proximity,criterion,G∩B,False,Directness,2,2,2,0.75,Elements of Eﬀective Public Cycle Parking | InfrastructuralMetric | Qualitative design standards,Max. distance | proximity,The closeness of the parking facility to the user's final destination.,"Proximity • Maximise the proximity of cycle parking to user destinations ( Aldred & Jungnickel, 2013 ; Arbis et al.",W4317438483 W4393006393
shelters for cyclists,criterion,G∩B,False,Comfort,2,2,1,0.67,Infrastructure for high-level bicycle tourism | Qualitative design standards,covering/weather protection | Covering/weather protection | shelters for cyclists,Structures provided for cyclists to seek protection from weather conditions.,"The chapter “Infrastructure for high-level bicycle tourism” deals with relevant road infrastructure elements like different types of tracks, intersections and roundabouts, route signposting, bicycle parking, shelters for cyclists, lighting and maintenance.",W3206354380 W4393006393
